k=128, mu=2147483648, d=1.5e-08, t=141.047866
k=128, mu=2147483648, d=1.5e-08, t=21.348275
k=128, mu=2147483648, d=1.5e-08, t=86.057696
k=128, mu=2147483648, d=5.0e-08, t=126.039814
k=128, mu=2147483648, d=5.0e-08, t=78.192393
k=128, mu=2147483648, d=5.0e-08, t=154.634217
k=128, mu=3000000000, d=1.0e-10, t=304.723829
k=128, mu=3000000000, d=1.0e-10, t=211.242196
k=128, mu=3000000000, d=1.0e-10, t=686.299045
k=128, mu=3000000000, d=5.0e-09, t=22.922743
k=128, mu=3000000000, d=5.0e-09, t=57.708521
k=128, mu=3000000000, d=5.0e-09, t=122.378990
k=128, mu=3000000000, d=1.5e-08, t=154.164091
k=128, mu=3000000000, d=1.5e-08, t=116.095652
k=128, mu=3000000000, d=1.5e-08, t=143.593532
k=128, mu=3000000000, d=5.0e-08, t=47.961194
k=128, mu=3000000000, d=5.0e-08, t=127.893619
k=128, mu=3000000000, d=5.0e-08, t=175.713600
